cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pweight,polintr,polcmpl,poldcs,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,vote,contplt,wrkprty,wrkorg,badge,sgnptit,pbldmn,bctprd,clsprty,prtdgcl,mmbprty,lrscale,stflife,stfeco,stfgov,stfdem,stfedu,stfhlth,gincdif,freehms,prtyban,scnsenv,euftf,imsmetn,imdfetn,impcntr,imbgeco,imueclt,imwbcnt,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun,
ES,ESS1-5e011,1.1,01.02.2013,80794,ESS5e03_0,5,3.0,762,0.903132628141443,2.07516111405836,3,,,5,5,5,5,5,5,5,1,2,2,2,2,2,2,2,2,6,2,7,8,2,2,5,7,8,1,3,2,3,,4,4,4,5,4,5,2,4,3,4,2,3,3,2,2,4,1,3,4,2,3,2,3,2,1,2,2,
ES,ESS1-5e011,1.1,01.02.2013,80795,ESS5e03_0,5,3.0,763,0.673175411535141,2.07516111405836,4,,,0,0,3,0,0,2,4,2,2,2,2,2,1,2,2,1,2,2,7,3,0,0,4,6,7,1,3,1,1,,3,4,4,5,2,0,1,6,1,6,1,1,6,3,1,5,1,1,5,1,6,1,6,3,1,1,6,
ES,ESS1-5e011,1.1,01.02.2013,80796,ESS5e03_0,5,3.0,764,1.00744708818384,2.07516111405836,3,,,3,4,6,1,2,3,4,1,2,2,2,2,2,2,2,2,6,2,77,8,2,2,5,4,3,1,2,3,2,,2,2,2,5,8,88,3,3,2,5,3,2,4,2,2,4,2,2,5,2,5,2,4,2,2,4,4,
ES,ESS1-5e011,1.1,01.02.2013,80797,ESS5e03_0,5,3.0,766,1.16040473046038,2.07516111405836,4,,,4,4,8,4,4,5,77,2,2,2,2,2,2,2,2,2,6,2,77,8,3,3,5,77,7,2,7,2,2,,2,3,3,5,5,4,3,4,2,3,2,3,2,2,2,4,1,2,7,2,5,2,2,2,7,2,3,
ES,ESS1-5e011,1.1,01.02.2013,80798,ESS5e03_0,5,3.0,767,1.01062707596283,2.07516111405836,4,,,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,6,2,77,8,4,2,5,8,4,1,3,2,4,,1,1,1,8,8,8,1,3,1,2,1,2,2,1,2,1,1,1,2,1,3,2,1,1,2,1,2,
ES,ESS1-5e011,1.1,01.02.2013,80799,ESS5e03_0,5,3.0,768,3.33226180328266,2.07516111405836,3,,,3,5,4,3,2,2,4,1,2,2,1,2,1,1,2,1,3,2,4,7,3,3,8,5,8,3,1,1,2,,2,2,2,5,6,5,4,4,3,3,5,3,3,3,2,4,2,3,4,4,4,2,2,2,1,4,5,
ES,ESS1-5e011,1.1,01.02.2013,80800,ESS5e03_0,5,3.0,772,0.920269190731191,2.07516111405836,3,,,5,8,8,6,6,7,7,1,2,2,2,2,1,2,2,2,6,2,5,8,8,6,6,8,9,1,2,2,2,,2,2,2,8,7,7,3,5,2,4,4,3,3,3,3,3,3,3,5,2,5,3,5,3,2,2,2,
ES,ESS1-5e011,1.1,01.02.2013,80801,ESS5e03_0,5,3.0,773,1.0122828007444,2.07516111405836,4,,,77,7,8,0,0,77,7,3,2,2,1,2,2,2,2,2,6,2,88,5,2,88,7,8,9,2,2,8,8,,1,1,1,88,88,6,3,5,1,4,2,5,2,1,2,3,2,2,4,2,5,2,4,2,3,4,3,
ES,ESS1-5e011,1.1,01.02.2013,80802,ESS5e03_0,5,3.0,774,0.925607844127163,2.07516111405836,3,,,4,2,5,3,1,5,6,1,2,2,2,1,1,1,2,2,6,2,3,4,3,3,6,5,4,3,2,4,4,,2,2,2,5,10,6,5,5,2,3,2,3,4,1,4,4,3,2,3,3,5,2,5,1,3,6,3,
ES,ESS1-5e011,1.1,01.02.2013,80803,ESS5e03_0,5,3.0,775,0.822942028432351,2.07516111405836,3,,,3,3,3,3,3,4,4,2,2,2,2,2,2,2,2,2,6,2,5,4,4,4,5,5,7,3,3,2,2,,3,3,3,5,5,5,2,3,2,4,2,3,4,2,2,2,2,2,3,2,5,2,2,2,2,2,3,
