cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,polintr,polcmpl,poldcs,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,vote,contplt,wrkprty,wrkorg,badge,sgnptit,pbldmn,bctprd,clsprty,prtdgcl,mmbprty,lrscale,stflife,stfeco,stfgov,stfdem,stfedu,stfhlth,gincdif,freehms,prtyban,scnsenv,euftf,imsmetn,imdfetn,impcntr,imbgeco,imueclt,imwbcnt,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun,
ES,ESS1-6e01,1.0,26.11.2014,94273,ESS4e04_3,4,4.3,1280,1.4257,0.881619977493132,1.50092092391304,3,3,3,3,3,3,2,2,4,4,3,2,2,2,2,2,2,2,2,6,2,4,4,3,3,6,7,7,2,1,1,3,5,3,3,3,7,7,5,2,5,1,3,2,2,2,2,2,4,2,2,4,2,3,2,6,2,3,2,4,
ES,ESS1-6e01,1.0,26.11.2014,94274,ESS4e04_3,4,4.3,1283,0.4298,0.410879932285121,1.50092092391304,4,4,2,88,88,6,2,2,88,88,2,2,2,2,2,2,2,2,2,6,2,77,7,6,88,7,88,7,2,3,2,3,1,3,3,3,3,3,2,3,4,2,5,1,6,1,2,2,6,4,1,5,1,6,1,2,1,3,1,6,
ES,ESS1-6e01,1.0,26.11.2014,94275,ESS4e04_3,4,4.3,1284,0.1627,0.155537843142832,1.50092092391304,4,4,4,5,4,8,5,4,3,4,1,2,2,2,2,2,2,2,2,6,2,6,5,6,4,5,5,3,2,2,1,2,5,3,3,3,5,7,6,2,6,1,4,4,4,2,2,2,5,3,1,5,2,5,2,2,3,3,4,5,
ES,ESS1-6e01,1.0,26.11.2014,94276,ESS4e04_3,4,4.3,1285,1.288,1.38872482149718,1.50092092391304,3,3,2,6,7,7,3,3,5,5,1,2,2,2,2,2,2,2,1,2,2,8,8,3,2,4,6,6,2,3,2,3,3,3,3,3,2,3,3,2,4,1,4,1,4,2,3,2,4,5,1,4,1,5,2,4,1,3,2,3,
ES,ESS1-6e01,1.0,26.11.2014,94277,ESS4e04_3,4,4.3,1286,0.8058,0.514695715909156,1.50092092391304,4,3,2,3,3,6,1,0,0,88,1,2,2,2,2,2,2,2,2,6,2,3,7,1,88,88,88,4,1,4,8,8,88,4,4,3,5,7,6,5,5,2,5,5,5,2,4,2,5,3,2,5,8,5,2,2,2,2,2,2,
ES,ESS1-6e01,1.0,26.11.2014,94278,ESS4e04_3,4,4.3,1289,0.6736,0.703994165129995,1.50092092391304,4,5,1,5,5,8,3,2,88,88,2,2,2,2,2,2,2,2,2,6,2,7,8,1,2,9,3,5,2,1,1,1,3,3,3,3,8,8,4,5,5,1,5,1,5,3,1,4,5,4,1,4,2,5,2,5,1,1,1,4,
ES,ESS1-6e01,1.0,26.11.2014,94279,ESS4e04_3,4,4.3,1291,0.298,0.233040410169851,1.50092092391304,2,4,4,7,8,7,6,8,7,4,1,2,2,2,2,1,1,1,1,1,2,3,6,7,7,10,6,7,2,1,2,2,2,2,2,2,6,8,6,2,5,2,2,2,4,5,2,3,2,2,2,2,3,4,4,4,1,1,2,2,
ES,ESS1-6e01,1.0,26.11.2014,94280,ESS4e04_3,4,4.3,1292,1.5171,1.52116875828617,1.50092092391304,4,4,1,5,3,7,3,3,5,5,1,2,2,1,2,2,2,2,1,3,2,7,8,7,77,7,6,6,1,3,1,4,77,2,2,2,77,77,4,3,5,1,3,1,4,2,1,1,3,3,1,4,1,5,1,4,1,2,1,4,
ES,ESS1-6e01,1.0,26.11.2014,94281,ESS4e04_3,4,4.3,1293,1.288,1.08957339605496,1.50092092391304,2,3,4,5,1,5,0,0,6,7,1,2,2,2,2,2,1,1,1,2,2,9,8,0,0,3,4,4,1,1,1,1,7,2,2,2,4,10,5,1,6,1,3,2,1,5,2,1,3,1,1,2,1,2,1,3,1,2,4,2,
ES,ESS1-6e01,1.0,26.11.2014,94282,ESS4e04_3,4,4.3,1294,1.4448,1.5958521156705,1.50092092391304,2,2,4,6,4,7,5,5,6,7,1,2,2,2,2,2,2,2,1,2,2,4,9,5,8,8,6,8,4,1,2,2,6,2,2,2,7,7,7,1,3,1,3,2,3,5,1,2,3,2,1,2,2,4,1,4,1,2,6,3,
